url,speaker_type,sent_idx,sentence_text,context_text,trade_risk,sanctions_risk,embargo_risk,geopolitical_risk,p_positive,p_negative,p_neutral,sentiment
https://www.investing.com/news/transcripts/apollo-global-at-ubs-conference-strategic-insights-revealed-93CH-4497681,exec,104,"Like, the relationships with banks and the partnerships we have on flow are important.","We’re not saying it. Like, the relationships with banks and the partnerships we have on flow are important. It’s an important source of supply for us.",True,False,False,False,0.15362755954265594,0.012282462790608406,0.834089994430542,neutral
https://www.investing.com/news/transcripts/ares-management-at-bank-of-america-conference-embracing-growth-and-ai-93CH-4497748,exec,98,"The narrative that people wanna talk about is banks take more risk, and there’s a war going on between private credit and banks for market share.","So this is another example of a one-sided narrative, right? The narrative that people wanna talk about is banks take more risk, and there’s a war going on between private credit and banks for market share. Fundamentally not true.",False,False,False,True,0.04488667473196983,0.18091054260730743,0.7742027640342712,neutral
https://www.investing.com/news/transcripts/bank-of-america-at-financial-services-conference-strategic-growth-and-innovation-93CH-4497668,exec,53,"The other major thing, and I think this is important for all of us that operate banks, is this supervisor operating procedures and things like that to go to materiality.","I think the good news is they’re taking the time to get it right, so doing a cost-benefit analysis in a way that ought to stick to the ribs, as opposed to being able to be swung back by somebody else saying: ""I just want to change it."" So that’s, that’s good on capital liquidity, et cetera. The other major thing, and I think this is important for all of us that operate banks, is this supervisor operating procedures and things like that to go to materiality. ...",True,False,False,False,0.12995928525924683,0.02406320348381996,0.8459774851799011,neutral
https://www.investing.com/news/transcripts/centene-at-deutsche-bank-summit-strategic-growth-and-challenges-93CH-4235482,exec,149,I think a different level of on-the-record receptivity from the Republican Party around how important these subsidies are for their voting base.,"I would say there’s been a significant uptick in the dialogue around enhanced APTCs just in the last couple of weeks. I think a different level of on-the-record receptivity from the Republican Party around how important these subsidies are for their voting base. As they think about 2026, I think that’s really front of mind.",True,False,False,False,0.5533127188682556,0.03817373514175415,0.4085134267807007,positive
https://www.investing.com/news/transcripts/citigroup-at-bank-of-america-conference-navigating-financial-frontiers-93CH-4500634,exec,157,"If we want to deploy talent in banking or in wealth, we think that’s important to do.","So if we want to invest in our global payments platform, where we have a differentiated capability in services, we want to be able to do that. If we want to deploy talent in banking or in wealth, we think that’s important to do. So we brought it down by about 3 percentage points from 66 in 2024 to 63.",True,False,False,False,0.013396453112363815,0.9534338116645813,0.03316972777247429,negative
https://www.investing.com/news/transcripts/citigroup-at-ubs-financial-services-strategic-growth-and-innovation-93CH-4498521,exec,135,"The world has borders, the world has FX controls, the world has liquidity controls, and the world has capital controls.","I would say, you know, as you think about, firstly, the world at large, one of the things you’ve got to think about is the world is not homogeneous. The world has borders, the world has FX controls, the world has liquidity controls, and the world has capital controls. So as you think about that world and how our clients navigate that universe, our goal, our aspiration, is to give our clients access to the best possible technology platform that helps them execute and manage their treasury on a day-to-day basis.",True,False,False,False,0.129799485206604,0.009701568633317947,0.8604989647865295,neutral
https://www.investing.com/news/transcripts/cognex-at-citis-global-conference-ai-drives-growth-strategy-93CH-4514229,exec,53,"So if you recall, that last year we said tariffs, we expect basically a neutral effect on Adjusted EBITDA margin and on EPS.","So that was really mainly related to pricing, actually, much less for tariffs, right? So if you recall, that last year we said tariffs, we expect basically a neutral effect on Adjusted EBITDA margin and on EPS. There’s some effect on the gross margin, but not on the bottom line, basically.",True,False,False,False,0.07459985464811325,0.15083371102809906,0.7745663523674011,neutral
https://www.investing.com/news/transcripts/cricut-at-goldman-sachs-conference-strategic-growth-initiatives-93CH-4234613,exec,20,"As we saw the effects of reaction to tariffs across some of our retail partners, they were worried about having product on shelf because many of their products came directly from China, where we had a more diversified supply chain.","That’s a nice take. As we saw the effects of reaction to tariffs across some of our retail partners, they were worried about having product on shelf because many of their products came directly from China, where we had a more diversified supply chain. One of our goals this year was to gain share in accessories and materials.",True,False,False,False,0.6478821635246277,0.03528352454304695,0.31683430075645447,positive
https://www.investing.com/news/transcripts/earnings-call-transcript-acadian-timbers-q4-2025-surprises-with-eps-surge-93CH-4503819,analyst,11,"And with that, how are you thinking about risk to maybe volumes and pricing, if those tariffs end up stepping higher into 2027?","Next for me, could you maybe just talk a little bit about how US tariffs on cabinets and vanities have affected your business, if at all, maybe especially on the hardwood side? And with that, how are you thinking about risk to maybe volumes and pricing, if those tariffs end up stepping higher into 2027? Thank you.",True,False,False,False,0.11043484508991241,0.04376230016350746,0.845802903175354,neutral
https://www.investing.com/news/transcripts/earnings-call-transcript-acerinox-q4-2025-shows-resilience-amid-challenges-93CH-4530871,exec,2,"As Carlos said, this has been a very challenging environment, very difficult year, full of geopolitical tension, macro issues, low demand in all the markets that we have.","Good morning, everyone. As Carlos said, this has been a very challenging environment, very difficult year, full of geopolitical tension, macro issues, low demand in all the markets that we have. Having said that, we believe in our strategy, and we believe we have done well within our strategy, and what we see is a very bright future in the medium term for Acerinox in particular.",False,False,False,True,0.9185807704925537,0.02094275690615177,0.06047655642032623,positive
https://www.investing.com/news/transcripts/earnings-call-transcript-acerinox-q4-2025-shows-resilience-amid-challenges-93CH-4530871,exec,48,"We have been, even with the bad years, we suffered COVID, we suffered all the tension, geopolitical tensions, these disruptions of the supply chain and all the geopolitical situations that we are facing, the tariffs, whatever, uncertainty, everything.","We started in 2020 with this strategy. We have been, even with the bad years, we suffered COVID, we suffered all the tension, geopolitical tensions, these disruptions of the supply chain and all the geopolitical situations that we are facing, the tariffs, whatever, uncertainty, everything. We are going ahead with our strategy.",True,False,False,True,0.12476807832717896,0.053795211017131805,0.8214367032051086,neutral
https://www.investing.com/news/transcripts/earnings-call-transcript-acerinox-q4-2025-shows-resilience-amid-challenges-93CH-4530871,analyst,2,"As you well know, 2025 has been a challenging year, marked by a complex macroeconomic environment, low global demand, and ongoing tariff tensions.","Good morning, everyone, and welcome to Acerinox fourth quarter and fiscal year 2025 results presentation. As you well know, 2025 has been a challenging year, marked by a complex macroeconomic environment, low global demand, and ongoing tariff tensions. Despite these headwinds, the group has maintained a solid financial situation, demonstrating the strength of our diversified business model and a strategic position in the United States, Europe, and South Africa.",True,False,False,False,0.9127652049064636,0.05416318401694298,0.033071622252464294,positive
https://www.investing.com/news/transcripts/earnings-call-transcript-acme-united-beats-q4-2025-earnings-expectations-93CH-4529131,exec,7,"Investors are cautioned that such forward-looking statements involve risks and uncertainties, including, among others, those arising as a result of a challenging global macroeconomic environment characterized by continued high inflation, high interest rates, and the imposition of new tariffs or changes in existing tariff rates.","Forward-looking statements in this conference call, including, without limitation, statements related to the company’s plans, strategies, objectives, expectations, intentions, and adequacy of capital and other resources, are made pursuant to the safe harbor provisions of the Private Securities Litigation Reform Act of 1995. Investors are cautioned that such forward-looking statements involve risks and uncertainties, including, among others, those arising as a result of a challenging global macroeconomic environment characterized by continued high inflation, high interest rates, and the imposition of new tariffs or changes in existing tariff rates. In addition, we’ve experienced supply chain disruptions, and we may experience these disruptions in the future.",True,False,False,False,0.014557572081685066,0.9293189644813538,0.05612345412373543,negative
